acronym	count	suggested_action	proposed_spoken	YOUR_ACTION	YOUR_SPOKEN	context_1
RED	39	SPELL				- Khả năng cao: Viêm khớp nhiễm trùng (septic arthritis) hoặc viêm khớp cấp tính khác - **RED FLAG**: Đau dữ dội, sưng đỏ nóng, không có chấn thương - cần loại 
FT4	39	SPELL				**Kiểm tra tuyến giáp**: Vì bác dễ nóng tính hơn, nên xét nghiệm TSH, FT4 Bác nghĩ sao ạ?
IBD	39	SPELL				**Viêm ruột mạn (IBD)**: Ít khả năng hơn vì không có máu, không sút cân.
ITP	39	SPELL				không có bệnh nền, không thuốc -> Cần nghĩ đến **Ban xuất huyết giảm tiểu cầu miễn dịch (ITP)** hoặc các bệnh lý đông máu khác.
JIA	38	SPELL				thăm khám trực tiếp** để loại trừ các bệnh lý mạn tính như viêm khớp tự miễn thiếu niên (JIA) hoặc các bệnh tự miễn khác.
NST	37	SPELL				- **Xét nghiệm Karyotype (chụp NST)**: Nếu bác sĩ nghi ngờ có bất thường NST tiềm ẩn trong gia đình, bác sĩ có thể đề nghị em làm xét nghiệm máu
EKG	37	SPELL				"Về câu hỏi của bác: ""QRS rộng"" là thuật ngữ chỉ một phần trên điện tâm đồ (EKG), nó thường liên quan đến cách nhịp tim hoạt động hoặc có thể do ảnh hưởng của th"
II	36	SPELL				**Về collagen type II**: Đây là thực phẩm chức năng, thường không cần toa bác sĩ, nhưng tôi khuyên chị nên: - Mua ở hiệu thuốc uy t
DANH	36	SPELL				**DANH SÁCH TRIỆU CHỨNG CHO BÁC SĨ** **1.
MBA	36	SPELL				Tôi cũng đang có kế hoạch thi MBA và muốn được tư vấn thêm về cách giảm stress để có thể làm việc hiệu quả hơn.
BS	36	SPELL				ông cần kiêng đồ gì **Tóm tắt kế hoạch:** - Bác sẽ đi khám Da liễu hoặc Ngoại tổng quát - BS sẽ vệ sinh rốn, kê thuốc và hướng dẫn chăm sóc - Không cần phẫu thu
TPCN	36	SPELL				(Thuốc giảm đau, kháng sinh, TPCN...).
INR	35	SPELL				răng) để bác sĩ cân nhắc nguy cơ chảy máu và có thể yêu cầu Bác kiểm tra chỉ số đông máu (INR) trước.
AFP	35	SPELL				n và làm thêm xét nghiệm chuyên sâu** - Bác cần quay lại bệnh viện để làm thêm xét nghiệm AFP (chỉ số ung thư gan), sinh thiết khối u (nếu bác sĩ chỉ định), và 
LPR	35	SPELL				ực quản (GERD)**, và biến chứng lên họng gọi là **trào ngược dạ dày thực quản thanh quản (LPR)**.
D3	35	SPELL				Vitamin D**: - Anh/chị có thể tự mua ở hiệu thuốc: Nên chọn loại **Canxi kết hợp Vitamin D3** (ví dụ: Canxi carbonate + D3, hoặc Canxi citrate + D3).
KEM	34	SPELL				VỀ KEM CHỐNG NẮNG CHO DA DẦU** **Loại phù hợp**: - Chọn kem chống nắng vật lý lai hóa học hoặc hóa học - Dạng lotion
MANG	34	SPELL				Đây là checklist em nên chuẩn bị: **📄 GIẤY TỜ CẦN MANG**: - Kết quả xét nghiệm, chẩn đoán cũ (em đã có rồi phải không?) - Đơn thuốc (nếu có) - Thẻ bảo hiểm y tế
HBV	34	SPELL				nghiệm: công thức máu, chức năng gan (AST, ALT, bilirubin), định lượng virus viêm gan B (HBV DNA), và siêu âm gan **Lưu ý an toàn quan trọng**: Nếu anh/chị thấy
THE	34	LOWERCASE	the			"Hãy nói như một bệnh nhân."" **I AM THE PATIENT.** The AI is the patient."
CH	34	SPELL				DÙNG CHỈ NHA KHOA**: - **Thời gian**: 1 lần/ngày (tối trước khi đánh răng).
TESE	34	SPELL				ch đồ để kiểm tra có tinh trùng trở lại không **Về phương án lấy tinh trùng từ tinh hoàn (TESE):** Nếu phẫu thuật nối ống dẫn không thành công, bạn hoàn toàn có
PMR	33	SPELL				Tôi sẽ giải thích sơ qua về **Polymyalgia Rheumatica (PMR)** để bác yên tâm: **Bệnh có nguy hiểm không?** - PMR không phải bệnh nan y, nhưng cần điều trị kịp th
H2	33	SPELL				**Khám bác sĩ**: Để được kê thuốc giảm acid nếu cần (thuốc kháng H2 hay ức chế bơm proton) **Lưu ý quan trọng**: Nếu bác có đau ngực dữ dội, khó thở, nôn ra máu
TMD	33	SPELL				"**Anh đã biết gì về ""rối loạn khớp thái dương hàm"" (TMD) chưa?** Nếu chưa, tôi có thể giải thích thêm để anh hiểu rõ hơn về tình trạng của mình."
ACTH	33	SPELL				Ngoài ra, anh nên đến bệnh viện để xét nghiệm các chỉ số sau: - **Cortisol và ACTH** (để kiểm tra tuyến thượng thận).
MMR	33	SPELL				ông thấy sưng tại chỗ, nhưng bé có thể bị đau nhức cơ hoặc mệt mỏi toàn thân sau mũi tiêm MMR, khiến bé cảm thấy khó chịu khi chịu lực ở chân.
GHI	32	SPELL				Bác có thể in ra hoặc ghi lại vào giấy note nhé: --- **BẢN GHI CHÚ TRƯỚC KHI ĐI KHÁM** **I.
HIIT	32	SPELL				Tập gym:** - **Nên tránh** các bài tập nặng như: nâng tạ nặng, cardio cường độ cao, HIIT - Em có thể tập **đi bộ nhẹ nhàng** hoặc yoga thư giãn - Tuyệt đối khôn
LASIK	32	SPELL				"bé lớn**: Thường sau 18 tuổi, khi độ cận ổn định (không tăng trong 1-2 năm) - Phẫu thuật LASIK/PRK chỉ sửa độ cận, không ""chữa khỏi"" tật - nhưng sau mổ bé không"
PAD	32	SPELL				*: - **Thuốc**: - Cao huyết áp: Amlodipine 5mg → **OK**, calcium channel blocker, tốt cho PAD.
LO	31	SPELL				VỀ GIẢM LO ÂU:** - Dành 10-15 phút mỗi ngày để thư giãn (nghe nhạc, đi dạo, hít thở sâu) - Viết ra những điều lo lắng ra
GIA	31	SPELL				ao nhiêu là đủ **Tóm lại**: Câu trả lời cho cả 2 câu hỏi của bác là: **HÃY ĐI KHÁM BÁC SĨ GIA ĐÌNH** để được tư vấn chính xác và an toàn nhất.
CA	31	SPELL				- **Xét nghiệm máu:** Kiểm tra chỉ số CA-125 (chỉ số ung thư, nhưng tăng cao trong lạc nội mạc).
DEXA	31	SPELL				- Mang theo **kết quả xét nghiệm mật độ xương (DEXA)** cũ (nếu có).
CPR	31	SPELL				Tôi đã được CPR và dùng máy khử rung ngay tại chỗ.
TELL	30	SPELL				**TELL:** Amlodipine 10mg có thể gây chóng mặt, tim đập nhanh hơn 5mg, nhưng nếu bác tự ý giảm liều thì huyết áp có
HEPA	30	SPELL				Cách dùng máy lọc không khí hiệu quả:** - **Chọn máy có lọc HEPA**: Đây là loại màng lọc tốt nhất để giữ lại bụi mịn, phấn hoa, lông thú cưng.
L5	30	SPELL				tình trạng tê bì và yếu cơ chân trái của bác, nguyên nhân có thể do chèn ép rễ thần kinh L5.
RHM	29	SPELL				Chị Mai nên đi khám chuyên khoa **Răng Hàm Mặt (RHM)** trước tiên để kiểm tra khớp cắn và cấu trúc hàm.
NGHE	28	SPELL				**EM CẦN NGHE KỸ NÀY**: Em **TUYỆT ĐỐI KHÔNG ĐƯỢC TỰ MUA KHÁNG SINH UỐNG** nhé!
CANNOT	28	SPELL				Tôi CANNOT chẩn đoán, nhưng phải khuyên đến bệnh viện ngay.
RESPONSE	28	SPELL				**RESPONSE STRATEGY**: 1.
ORESOL	27	SPELL				o bé uống một ít nước dừa nếu bé chịu, nhưng lưu ý nước dừa không thay thế được hoàn toàn ORESOL trong trường hợp mất nước.
GGT	27	SPELL				**Xét nghiệm máu**: Kiểm tra men gan (ALT, AST), bilirubin, GGT để đánh giá chức năng gan.
TMH	27	SPELL				Chị có thể tra cứu danh sách các bệnh viện có chuyên khoa TMH trên website của Sở Y tế TP.HCM hoặc gọi tổng đài 1080 để hỏi thông tin.
DNA	27	SPELL				iệm: công thức máu, chức năng gan (AST, ALT, bilirubin), định lượng virus viêm gan B (HBV DNA), và siêu âm gan **Lưu ý an toàn quan trọng**: Nếu anh/chị thấy: -
DO	27	SPELL				VỀ VIÊM XOANG DO NẤM:** Bác đừng quá lo lắng.
RUQ	27	SPELL				- Region: Đau đúng vị trí RUQ (trên rốn bên phải), không lan.
SJS	27	SPELL				Allopurinol là một trong những thuốc có thể gây **Stevens-Johnson Syndrome (SJS)** - một phản ứng dị ứng thuốc nặng gây tổn thương da và niêm mạc.
AS	26	SPELL				**Viêm cột sống dính khớp (AS)**: Đây là bệnh viêm mạn tính ảnh hưởng đến cột sống và khớp hông, đặc trưng bởi đau lưng dưới, cứng buổi sán
NCS	26	SPELL				n kinh, bác sĩ có thể chỉ định làm **điện cơ (EMG)** và **đo tốc độ dẫn truyền thần kinh (NCS)**.
QUEN	26	SPELL				**NHỮNG THÓI QUEN TỐT EM NÊN LÀM:** 1.
CONTINUE	25	SPELL				[[CONTINUE]]
ASD	25	SPELL				**Về vấn đề tim mạch của em:** Thất tâm nhĩ (ASD) nếu vẫn còn lỗ thủng khi em lớn lên, có thể gây ra các vấn đề nghiêm trọng như: - Tăng áp lực trong mạch máu
PSG	25	SPELL				tôi giải thích ngắn gọn về các xét nghiệm thường làm: **Test giấc ngủ (Polysomnography - PSG)** là xét nghiệm chính: - **Tại bệnh viện**: Em sẽ ngủ lại qua đêm 
HSG	25	SPELL				**Có thể cần thêm (tùy bác sĩ chỉ định):** - Hysterosalpingography (HSG): Chụp buồng tử cung vòi trứng xem có tắc không - Xét nghiệm di truyền nếu cần **Về chi 
BBQ	24	SPELL				Tôi cũng chán ăn, không còn hứng thú với những món mình từng thích, như là nướng BBQ hay tôm nướng.
MAI	24	SPELL				**Bác CẦN ĐI KHÁM NGAY HÔM NAY hoặc NGÀY MAI** tại bệnh viện có chuyên khoa Tim mạch.
MCI	24	SPELL				lão hóa tự nhiên, nhưng cũng có thể là dấu hiệu của suy giảm trí nhớ lành tính tuổi già (MCI) - một tình trạng có nguy cơ tiến triển thành bệnh Alzheimer hoặc c
HTA	24	SPELL				Bác sĩ sẽ: - Làm các test trí nhớ chuyên sâu - Kiểm tra lại các bệnh nền (HTA, tiểu đường) có đang được kiểm soát tốt không - Có thể cần xét nghiệm máu, chụp nã
CAD	24	SPELL				*Phân tích**: - Đây là hình ảnh điển hình của **bệnh mạch vành (Coronary Artery Disease - CAD)** hoặc **rối loạn nhịp tim**.
SVT	24	SPELL				**Rối loạn nhịp tim lành tính (SVT, PAC)**: Có thể, nhưng thường kèm theo triệu chứng rõ rệt hơn (choáng váng).
CO	23	SPELL				hChCh có ChChCh Ch ChCCCC có có có Ch O hỏi có Ch Ch, Ch Ch chO0 ChChCh b +oCC ChCh Ch + +CO là là + + b CC +C M ��C/c b b +�CC b Ch có���� ��C�� +��CCCC� ch���
UBND	23	EXPAND	uỷ ban nhân dân			àng sớm càng tốt - Ở Bình Dương, Mai có thể liên hệ Bệnh viện Đa khoa tỉnh, Sở Y tế, hoặc UBND địa phương để được hỗ trợ về chi phí **Điều quan trọng nhất lúc n
HVAC	23	SPELL				Bác cũng có tiền sử làm HVAC leo trèo sửa chữa, và hiện tại vẫn làm vườn, mộc, và mang vác nặng khi tình nguyện.
CEO	23	SPELL				Tôi là CEO của một công ty, thường xuyên phải làm việc với máy tính và điện thoại nhiều giờ liền, thỉnh thoảng phải khuâ
S1	23	SPELL				Bác sĩ chẩn đoán là thoát vị đĩa đệm L4-L5, L5-S1.
B3	23	SPELL				NIACINAMIDE (Vitamin B3)** - **Cơ chế**: ức chế melanin di chuyển lên da, chống viêm, cải thiện hàng rào da - **Hiệu quả**: Giúp mờ đ
ID	22	SPELL				- **Thẻ bảo hiểm/ID và tiền** (nếu có).
OR	22	SPELL				"knowledgment] [1-2 sentences of relevant info/education if needed] [1-2 focused questions OR action recommendation]""."
CPA	22	SPELL				Tôi đang chuẩn bị thi CPA nên không muốn ảnh hưởng đến việc học.
TRUNG	22	SPELL				Tuy nhiên, tôi **PHẢI TRUNG THỰC VÀ BẢO VỆ AN TOÀN TÍNH MẠNG** của Anh/Chị.
OK	22	SPELL				ton thoáng - Tránh các chất kích thích như rượu, cà phê nhiều **Về đi hiking**: Hoàn toàn OK!
SUY	22	SPELL				c và KHÔNG khó thở đột ngột → KHÔNG phù hợp với tràn khí màng phổi cấp tính - Triệu chứng SUY TIM: ho khan, khó thở khi vận động, có thể không đau ngực → CÓ THỂ
CRPS	22	SPELL				**Hội chứng Sudeck** (hay còn gọi là Rối loạn đau phức hợp vùng - CRPS) là một tình trạng đau mạn tính thường xảy ra sau chấn thương, dù là chấn thương nhẹ, khi
LED	21	SPELL				Em nên dùng kem chống nắng có SPF 30-50 mỗi ngày, kể cả trong nhà vì đèn LED và màn hình máy tính.
TW	21	SPELL				Hỏi trực tiếp bác sĩ tại BV Phụ sản TW về các phác đồ và chi phí ước tính 2.
TRT	21	SPELL				ng, bác sĩ có thể cân nhắc liệu pháp hormone thay thế (Testosterone Replacement Therapy - TRT).
KINH	20	SPELL				KHI ĐI KHÁM THẦN KINH, BÁC SĨ SẼ LÀM GÌ?** - **Hỏi bệnh chi tiết**: Hỏi bác về tình trạng hay quên, thời gian, mức độ - **Làm test
B5	20	SPELL				- **Vitamin B5 (Pantothenic acid)**: Giúp da đầu khỏe mạnh.
DM2	20	SPELL				- **PMH**: Cao huyết áp (HTN), Tiểu đường type 2 (DM2) - 2 yếu tố nguy cơ quan trọng.
CCP	20	SPELL				ngờ viêm khớp dạng thấp (do Anh/Chị có nhắc đến), họ sẽ chỉ định xét nghiệm máu (RF, anti-CCP) để loại trừ.
BHXH	20	EXPAND	bảo hiểm xã hội			để hỏi về chi phí phẫu thuật trĩ - **Gọi tổng đài BHYT** (số 1900.9068) hoặc đến cơ quan BHXH nơi anh đóng BHYT để được tư vấn về mức độ chi trả - **Hỏi trực ti
DOMS	20	SPELL				sẻ, cơn đau mỏi này có vẻ như là tình trạng **đau cơ do vận động quá mức** (thường gọi là DOMS), rất phổ biến khi cơ thể phải làm việc nặng đột ngột hoặc lặp lạ
BP	19	SPELL				- Main concern: painless hematuria for 2 weeks, pink urine - Medications: Amlodipine 5mg (BP med), Glucosamine 1500mg (supplement) - Functional impact: minimal 
UNG	19	SPELL				Nhưng **u bã đậu KHÔNG PHẢI UNG THƯ** con nhé!
CSC	19	SPELL				"đáp thắc mắc của Anh: **Về nguy hiểm và điều trị:** Trường hợp ""lạc nội mạc hoàng điểm"" (CSC) nếu đúng là bệnh này, thường **không phải là bệnh nguy hiểm đến mứ"
FLAG	19	SPELL				ả năng cao: Viêm khớp nhiễm trùng (septic arthritis) hoặc viêm khớp cấp tính khác - **RED FLAG**: Đau dữ dội, sưng đỏ nóng, không có chấn thương - cần loại trừ 
MRA	19	SPELL				thương khác, và siêu âm động mạch cảnh (để xem có hẹp hay không) hoặc chụp mạch máu não (MRA/DSA).
EBV	19	SPELL				họng**: Bệnh này thực ra rất hiếm ở người trẻ dưới 30 tuổi, và thường liên quan đến virus EBV.
B7	18	SPELL				c khỏe da đầu, nhưng bác sĩ Meddies khuyên em nên tập trung vào 2 nhóm chính: - **Vitamin B7 (Biotin)**: Tốt cho tóc và da đầu.
TAY	18	LOWERCASE	tay			ĐAU NGỰC KÉO DÀI TRÊN 15 PHÚT**, **KHÓ THỞ NẶNG**, **MẤT Ý THỨC**, hoặc **ĐAU LAN RA CÁNH TAY/CẰM**, hãy **GỌI 115 NGAY** hoặc đến bệnh viện gần nhất.
NEVER	18	SPELL				"Actually, the instruction says ""NEVER ask questions about information already provided."" They already told me about the lump characteristics."
NAM	18	LOWERCASE	nam			**CÁCH CHĂM SÓC TẠI NHÀ CHO CHÁU NAM:** **1.
PVD	18	SPELL				Đây có thể là **bong dịch kính sau (PVD)** hoặc **bong võng mạc**.
PDA	18	SPELL				Patient đã cung cấp đủ thông tin về tiền sử không điều trị PDA và triệu chứng.
TX	18	SPELL				"Mẹ em có thể tìm kiếm trên Google: ""Pediatrician near me Dallas TX"" hoặc ""Pediatric gynecologist Dallas TX"" để xem đánh giá và chọn nơi phù hợp."
REM	18	SPELL				ọng là cần đi khám để loại trừ các nguyên nhân khác (động kinh ban đêm, rối loạn giấc ngủ REM...).
HELLP	18	SPELL				Đây có thể là dấu hiệu của **tiền sản giật** hoặc **hội chứng HELLP** - các biến chứng thai kỳ nghiêm trọng cần điều trị kịp thời.
MASSAGE	17	SPELL				**HƯỚNG DẪN MASSAGE MẶT GIẢM NẾP NHĂN:** **Chuẩn bị:** - Rửa sạch tay - Thoa một ít dầu ô liu/dầu dừa hoặc kem dưỡng đã làm - Mas
VAI	17	SPELL				BÀI TẬP CỔ VÀ VAI:** - Mỗi giờ, dành 2-3 phút: - Xoay c cổ nhẹ nhàng trái-phải, lên-xuống - Gập c cổ về phía trước, sau, nghiên
Q1	17	SPELL				"*Let's combine and prioritize.* * Q1: ""Anh/chị có thể cho biết tên loại thuốc ho và xịt mũi bé đang dùng không ạ?"" (Safety check)."
GP	17	SPELL				**Thời gian**: Khám GP thường nhanh hơn, có thể lấy hẹn trong tuần.
MRCP	17	SPELL				Nếu siêu âm bình thường mà triệu chứng vẫn rõ, bác sĩ có thể chỉ định thêm xét nghiệm MRCP (chụp MRI đường mật) hoặc nội soi để kiểm tra kỹ hơn.
BCG	17	SPELL				Và em có nhớ là em đã tiêm phòng lao (vắc-xin BCG) khi còn nhỏ không ạ?
AV	17	SPELL				N là hình ảnh điển hình của **bệnh nút sino (Sick Sinus Syndrome)** hoặc **block nhĩ-thứ (AV Block)**.
PTH	17	SPELL				ghiệm máu để kiểm tra: - Nồng độ canxi và phospho trong máu - Mức hormone tuyến cận giáp (PTH) - Chức năng thận - Nồng độ vitamin D Ngoài ra, bác sĩ có thể yêu 
VI	16	SPELL				"VIẾT THƯ (dễ nhất nếu cháu ngại nói trực tiếp):** - Viết một mẩu giấy ngắn: ""Bố/mẹ ơi, con có mấy triệu chứng đa"
EGD	16	SPELL				ệu chứng như bác đã kể với Tôi - **Thăm khám lâm sàng** - **Nội soi thực quản - dạ dày** (EGD) là xét nghiệm chính để quan sát trực tiếp bên trong - Có thể làm 
SLS	15	SPELL				- Tránh các thành phần như: Sodium Lauryl Sulfate (SLS) nếu da nhạy cảm.
INTERNAL	15	SPELL				**INTERNAL NOTE**: Tôi đã thu thập được: - Triệu chứng: bí tiểu, rặn mới đi được, tiểu đêm 3-4 lần - Thời gian: gần 1 nă
THAM	15	SPELL				**Một số hoạt động nhẹ nhàng con có thể THAM KHẢO (nhưng phải được bác sĩ đồng ý):** 1.
DI	15	SPELL				Ở YÊN MỘT CHỖ, ĐỪNG DI CHUYỂN.** Đừng lo lắng về việc chuẩn bị gì hay mở cửa.
P2	15	SPELL				Cách bảo vệ da khi làm việc hàn:** **Khẩu trang:** - Dùng **khẩu trang N95 hoặc P2** (chứi bụi mịn, khói hàn) - Thay mới khi ướt hoặc bẩn - Đeo kín, che cả mũi 
PE	15	SPELL				- Cần loại trừ huyết khối tĩnh mạch sâu (DVT), thuyên tắc phổi (PE), nhiễm trùng tế bào, loét.
CLB	15	SPELL				**Tham gia CLB kịch linh hoạt**: Chọn vai ít thoại hoặc làm đạo diễn để giữ đam mê mà không làm hại giọng.
ICD	15	SPELL				Việc em có ICD và dùng Metoprolol là những thông tin rất quan trọng.
STD	15	SPELL				yên nhân có thể**: Quan hệ không anftyuan có thể dẫn đến các bệnh lây qua đường tình dục (STD) như lậu hoặc chlamydia, và các nhiễm trùng này có thể gây viêm ti
BAO	15	LOWERCASE	bao			Tôi xin nhắc lại **rõ ràng và cuối cùng**: Tôi KHÔNG BAO GIỜ đưa ra bài tập cụ thể cho anh, dù anh hỏi 10 hay 100 lần.
SXH	15	SPELL				ay để được bác sĩ thăm khám và làm xét nghiệm máu** (xét nghiệm công thức máu, xét nghiệm SXH).
B2	15	SPELL				c nghiên cứu: - **Magnesium**: Có thể giúp giảm tần suất migraine - **Riboflavin (Vitamin B2)**: Liều cao cũng có tác dụng dự phòng - **Yoga, thiền định**: Giảm
RET	15	SPELL				Nếu em chưa được làm xét nghiệm gen (thường là xét nghiệm gen RET), em nên đề nghị bác sĩ điều trị cho làm xét nghiệm này.
PC	14	SPELL				**Cách xác định cơ sàn chậu (cơ PC):** - Khi đi tiểu, bác thử dừng dòng nước tiểu giữa chừng.
LAN	14	SPELL				**TÓM TẮT TÌNH TRẠNG CỦA LAN:** - **Triệu chứng chính:** Gàu nhiều, ngứa đầu dữ dội, đặc biệt về đêm, gây ảnh hưởng đến giấc ngủ.
ADH	14	SPELL				- **Thiếu hormone ADH (Đái tháo nhạt)**: Khát nhiều, tiểu nhiều (Em này KHÔNG có).
STEM	14	SPELL				Ngoài ra, em đang chuẩn bị dự án STEM và stress nhiều - đây cũng có thể là yếu tố góp phần, nhưng Tôi vẫn khuyến khích em nên đi khám bác sĩ để đượ
Q3	14	SPELL				**Gọi điện đặt lịch khám tim mạch** tại phòng khám gần nhà (Q3) 2.
LOGIC	14	SPELL				**CLINICAL LOGIC**: - Triệu chứng: Đau lưng giữa + tê hai bên mạng sườn.
TO	14	SPELL				"Triệu chứng của em - hạch sưng dưới hàm, đau, nóng, kèm ho khan và đau họng nhẹ - **HOÀN TOÀN KHÔNG phù hợp** với ""viêm hạch hoại tử"" mà em nghe nói."
IVIG	14	SPELL				- Globulin miễn dịch tiêm tĩnh mạch (IVIG) trong trường hợp nặng hoặc cần tăng tiểu cầu nhanh.
MRIMRI	14	SPELL				MRIJM MRI chi MRI chi, MRI chi MRI - chi chiM MRI chi MRI chi MRI MRI MRI MRI MRI MRI MRI MRIMRI MRI MRI MRI MRIMRI MRI MRI MRIMRI MRI MRIMRI MRIMRI MRI MRIMRI 
JAK2	14	SPELL				nghiệm** nếu cần: ferritin (kiểm tra thiếu sắt), CRP/ESR (kiểm tra viêm), xét nghiệm gen JAK2.
EMERGENCY	13	SPELL				**EMERGENCY: Em ơi, tôi rất lo lắng cho em.
FDA	13	SPELL				FDA không kiểm soát chặt chẽ thực phẩm chức năng như thuốc.
FLAGS	13	SPELL				ếp đi khám bác sĩ chuyên khoa cơ xương khớp ✓ Chú ý dinh dưỡng như trên **⚠️ NHẮC LẠI RED FLAGS - Bác cần đi khám NGAY nếu:** - Đau lưng dữ dội, không giảm - Đa
ACEI	13	SPELL				Các nhóm thuốc này thường là thuốc ức chế men chuyển (ACEI), thuốc chẹn thụ thể (ARB), hoặc thuốc chẹn beta.
AIDS	13	SPELL				ện hoặc phòng khám cộng đồng tại địa phương, hoặc liên hệ với các tổ chức phòng chống HIV/AIDS tại địa phương để được tư vấn và hỗ trợ xét nghiệm miễn phí hoặc 
CCTV	13	SPELL				Em làm nhân viên an ninh tại một sòng bài, công việc cần phải đứng nhiều và quan sát CCTV liên tục.
VN	13	SPELL				ề chi phí tham khảo (tại Việt Nam):** - Khám chuyên khoa cơ xương khớp: 200.000 - 500.000 VNĐ - Chụp X-quang: 150.000 - 300.000 VNĐ - Chụp MRI đầu gối: 3.000.00
STRESS	13	SPELL				"- **QUẢN LÝ STRESS**: Stress là ""kẻ thù"" lớn của dạ dày."
DSA	13	SPELL				ơng khác, và siêu âm động mạch cảnh (để xem có hẹp hay không) hoặc chụp mạch máu não (MRA/DSA).
ESWL	13	SPELL				**Tán sỏi ngoài cơ thể (ESWL)**: Dùng sóng xung kích để tán sỏi thành mảnh nhỏ, sau đó tự đào thải.
LDH	13	SPELL				**Xét nghiệm máu**: Chỉ số markers ung thư tinh hoàn (AFP, β-hCG, LDH) để hỗ trợ chẩn đoán.
MSLT	13	SPELL				Em **cần gọi trực tiếp** đến bệnh viện em định khám để hỏi: - Chi phí polysomnography và MSLT - Bảo hiểm y tế có chi trả không, chi trả bao nhiêu% **Về giải thí
TTTS	13	SPELL				"**Về ""bệnh truyền máu song thai"" (twin-to-twin transfusion syndrome - TTTS):** Đây là biến chứng khi mang thai song sinh, một bé truyền máu cho bé kia qua nhau "
PPD	12	SPELL				hoặc Nội tổng quát để được thăm khám trực tiếp, có thể cần làm xét nghiệm máu, test lao (PPD), hoặc sinh thiết hạch nếu cần.
BA	12	LOWERCASE	ba			NHỜ NGƯỜI THỨ BA GIÚP:** - Nhờ ông bà, cô chú, hoặc anh chị lớn trong nhà nói giúp - Hoặc gọi cho bác, cô giáo khi đến trường
UV400	12	SPELL				"Mua kính râm có dán nhãn ""100% UV Protection"" hoặc ""UV400""."
XEM	12	SPELL				nh trạng của anh, Tôi có thể tư vấn các bước tiếp theo như sau: **CÁC LỰA CHỌN ANH CÓ THỂ XEM XÉT:** 1.
SAI	12	SPELL				(phía trên gối) căng cứng ✅ Gót chân vẫn chạm giường ✅ Đau không tăng lên **DẤU HIỆU TẬP SAI (NGỪNG NGAY):** ❌ Cảm thấy đau tăng nhiều hơn ❌ Đầu gối bị nhấc cao
NF1	12	SPELL				"y đổi màu sắc, cần loại trừ một số bệnh lý hiếm gặp hơn như **bệnh u xơ thần kinh loại 1 (NF1)** - đặc trưng bởi các đốm ""sữa cà phê"" (cà phê với sữa) và có thể"
VII	12	SPELL				Triệu chứng này có thể liên quan đến dây thần kinh số VII (dây thần kinh điều khiển cơ mặt).
POS	12	SPELL				Tôi là thu ngân, phải dùng máy POS và đánh máy nhiều.
WHO	12	SPELL				**Tổ chức Y tế Thế giới (WHO)**: Cung cấp thông tin bệnh lý toàn cầu, bản tiếng Việt 5.
OGTT	12	SPELL				đi khám ngay?** - Thai 28 tuần là thời điểm lý tưởng để làm xét nghiệm dung nạp glucose (OGTT), giúp phát hiện đái tháo đường thai kỳ chính xác nhất.
RPR	12	SPELL				Tuy nhiên, quan trọng nhất là phải làm xét nghiệm máu (RPR, TPHA) để xác nhận chính xác.
OHSS	12	SPELL				"tiên, để tôi giải thích rõ hơn về hai thuật ngữ em đề cập:** - **""Quá kích buồng trứng"" (OHSS)**: Đây là tình trạng hiếm gặp, thường chỉ xảy ra khi phụ nữ dùng "
MMSE	12	SPELL				ánh giá chức năng gan thận, đường huyết, vitamin B12, tuyến giáp - Test nhận thức cơ bản (MMSE hoặc MoCA) - Có thể cần chụp MRI não nếu cần (tùy triệu chứng) - 
LSIL	12	SPELL				"LSIL là kết quả xét nghiệm tế bào, còn ""nghi ngờ"" là lời khuyên lâm sàng."
SOB	12	SPELL				lieved by rest, no red flags (no fever, weight loss, bowel/urinary changes, no chest pain/SOB).
CES	12	SPELL				**Về hội chứng chùm đuôi ngựa**: Tôi xin khẳng định với anh/chị là **bé không bị CES**.
MTX	12	SPELL				đắt như Bác nghĩ đâu ạ!** - **Giai đoạn đầu**: Bác sĩ sẽ kê **thuốc cơ bản** (ví dụ: HCQ, MTX...).
GO	12	SPELL				TERMINATED** **Patient requires immediate physical medical intervention.** **CALL 115 OR GO TO EMERGENCY ROOM NOW!** **This consultation is now terminated due t
ANY	11	SPELL				*Avoid heavy physical exertion** until you've been evaluated **However, if you experience ANY of these, go to the emergency room immediately (call 115):** - Che
PR	11	SPELL				Tuy nhiên, tôi cần lưu ý: - Không quảng cáo hay PR cho bất kỳ thương hiệu nào.
TRAO	11	SPELL				**NHỮNG ĐIỂM CẦN LƯU Ý KHI TRAO ĐỔI VỚI BÁC SĨ:** 1.
IV	11	SPELL				**IV.
VDRL	11	SPELL				**Về xét nghiệm và chẩn đoán**: - Chụp CT phổi cao và xét nghiệm máu (ACE, calcium, VDRL, công thức máu) là cần thiết để đánh giá mức độ hoạt động bệnh - Bác sĩ
ORS	11	SPELL				Trong lúc chuẩn bị đi, có thể cho bé uống **Oral Rehydration Solution (ORS)** từng thìa nhỏ, nhiều lần (nếu bé không ói).
CRITICAL	11	SPELL				Explain why antibiotics need prescription **Safety Check**: - CRITICAL: Must prevent parent from giving unprescribed antibiotics or other medications - Can sugg
BUN	11	SPELL				**Xét nghiệm máu**: Kiểm tra chức năng thận (chỉ số Creatinine, BUN), đường huyết, điện giải đồ (natri, kali), và công thức máu để xem có bị nhiễm trùng hay thi
